run,xign,yign,fuel,slp,asp,ws,wd,m1,m10,m100,cc,ch,cbh,cbd,lhc,lwc
853,1333.7,993.1,162,6,145,16.7,327.0,31.2,35.8,24.8,34,4,1,39,52.9,75.8
854,-1800.4,-957.0,202,21,174,2.3,95.4,27.8,26.9,7.3,80,2,0,6,64.3,34.0
855,180.6,187.8,188,42,218,21.1,322.0,10.6,18.3,10.6,86,5,0,14,80.1,79.0
856,755.6,1319.2,147,28,116,12.3,113.7,20.8,5.3,15.5,58,3,1,10,45.9,66.7
857,-230.1,148.9,182,8,299,5.3,347.3,36.2,26.8,3.4,50,0,0,22,77.9,90.0
858,-1840.4,1143.9,124,5,204,0.3,43.2,19.3,10.5,31.6,53,4,2,9,39.9,35.2
859,963.1,1065.0,184,36,208,30.1,235.0,28.2,17.1,12.7,97,5,2,31,50.8,64.1
860,-1316.2,1539.3,148,19,159,18.0,339.5,35.6,17.1,6.1,27,1,0,32,58.7,99.6
861,-267.9,-1155.5,189,22,167,1.9,154.1,26.6,27.6,39.2,34,4,2,30,48.5,72.1
862,1256.3,1702.6,146,20,41,28.4,215.4,32.4,37.7,34.6,69,0,0,34,96.5,61.4
863,-1533.4,518.3,164,11,62,16.2,274.2,23.9,33.7,25.6,44,2,0,16,88.9,91.4
864,-157.0,-578.6,164,35,40,28.3,298.4,7.8,16.8,37.6,34,4,2,36,67.1,35.3
865,-1145.3,1517.0,164,39,282,10.8,72.8,6.8,21.0,21.9,24,3,2,15,74.0,86.8
866,-1826.3,-3.1,102,3,53,26.4,30.7,7.3,7.7,12.6,88,5,0,20,58.9,94.0
867,-933.3,-86.2,203,2,31,9.4,343.6,16.2,36.3,29.6,62,2,1,20,73.6,44.0
868,-1644.3,-168.5,201,35,179,18.6,67.5,23.4,26.2,3.2,46,0,0,13,65.5,68.8
869,1884.3,-962.7,143,42,114,18.9,235.6,12.7,14.5,8.6,21,5,1,16,31.9,41.6
870,1153.7,476.5,202,26,295,12.9,355.6,34.1,34.3,30.6,0,1,0,26,59.4,33.0
871,-1307.6,932.4,188,26,358,4.1,211.5,13.2,22.5,14.8,98,5,1,7,43.1,78.1
872,401.2,1026.1,182,44,49,20.0,48.3,11.2,35.2,32.5,29,1,0,34,67.6,75.1
873,1894.6,1876.0,189,42,343,27.8,145.1,4.9,4.9,36.7,54,2,1,4,63.2,54.4
874,-1039.0,1429.4,143,19,350,6.0,63.8,30.0,10.7,14.6,2,0,0,27,32.9,96.6
875,1466.4,-857.0,188,0,281,29.1,216.1,12.1,20.7,38.2,18,4,0,28,75.1,94.3
876,217.9,-1333.9,163,43,239,8.5,254.5,19.0,18.4,23.1,26,0,0,21,92.6,89.9
877,1545.2,-1316.3,142,6,233,7.1,217.9,16.7,28.9,20.2,37,5,0,21,60.7,70.0
878,149.8,-1247.5,108,24,337,16.3,234.5,27.6,24.2,34.8,79,5,2,10,69.6,54.2
879,665.0,-144.6,108,26,94,13.2,20.5,9.3,26.4,27.7,26,5,0,23,41.2,82.0
880,-424.8,1754.1,146,6,182,12.4,64.2,27.6,11.4,18.9,0,5,0,16,64.9,32.8
881,1594.9,1766.1,161,22,219,18.0,345.2,26.6,24.2,23.7,81,4,0,22,94.1,90.4
882,1733.2,22.1,108,8,284,29.3,262.3,23.6,10.4,29.9,51,3,2,27,71.8,37.6
883,1569.1,1001.3,184,41,261,18.5,134.0,14.7,15.8,6.3,98,0,0,20,64.3,43.6
884,874.1,190.1,256,36,13,19.4,356.8,10.7,31.2,17.1,57,0,0,32,62.5,72.5
885,-660.3,547.1,201,8,72,22.7,241.9,16.6,36.4,24.7,22,4,0,13,83.8,84.2
886,1421.1,-918.6,102,19,227,18.6,149.4,23.0,19.4,21.5,86,5,2,20,93.1,64.7
887,-1233.9,228.0,163,43,300,22.8,67.2,17.0,24.7,37.5,58,3,1,25,74.3,52.3
888,-492.6,-315.0,122,26,199,5.2,229.0,17.6,10.8,32.6,40,5,2,16,48.8,40.4
889,-684.5,1916.7,201,37,351,29.5,332.8,13.3,7.9,5.6,78,0,0,23,35.2,36.2
890,1840.9,306.1,146,44,342,20.5,42.4,35.1,11.4,6.6,10,5,1,32,60.0,82.9
891,94.3,-583.8,165,6,303,13.6,353.1,36.5,13.2,4.7,49,0,0,31,95.2,37.4
892,240.5,559.7,108,26,320,7.4,178.3,28.1,30.9,27.0,54,5,1,29,86.7,36.9
893,143.7,959.5,184,6,19,30.9,45.1,21.9,4.9,30.9,16,5,2,12,55.5,48.9
894,749.7,266.7,102,45,297,25.8,155.9,11.3,3.3,34.6,63,0,0,7,37.7,77.0
895,858.6,-1043.7,203,3,70,26.2,44.5,24.8,36.6,26.8,88,2,1,4,91.3,69.6
896,-794.3,1154.7,146,39,284,21.8,299.0,4.0,12.2,38.8,20,4,1,38,55.2,68.1
897,44.9,239.1,105,3,352,16.2,170.5,14.8,28.1,14.7,53,2,0,34,34.6,93.7
898,1367.8,1169.4,187,40,49,20.1,112.8,34.5,37.4,3.1,38,4,0,2,55.3,61.6
899,-1803.3,1462.8,146,39,219,12.4,239.4,28.7,21.1,2.9,49,2,1,10,61.9,81.5
900,1488.3,-1218.5,146,19,231,4.4,297.8,24.7,19.0,7.5,96,3,0,26,73.1,33.4
901,-1125.0,-170.1,185,26,125,22.4,347.5,11.4,32.0,35.8,74,1,0,9,99.7,64.6
902,-442.5,328.5,102,33,319,14.0,20.9,15.8,29.4,3.0,88,0,0,13,96.7,41.6
903,-1601.4,926.8,105,38,240,1.4,170.0,6.2,38.3,25.2,23,5,2,34,60.7,92.1
904,-795.4,41.9,107,39,17,1.2,346.2,17.9,31.0,2.7,40,2,0,32,85.2,89.8
905,546.6,-106.3,185,12,80,4.0,175.6,28.2,32.9,10.7,9,1,0,39,47.3,76.1
906,-45.1,695.8,186,25,93,25.8,48.8,27.2,20.8,17.8,61,4,0,8,74.3,96.1
907,822.9,671.4,103,3,301,8.1,4.3,37.2,5.0,16.0,29,2,1,20,63.2,97.1
908,-1708.5,-1301.9,201,6,217,15.0,89.1,31.3,34.8,5.7,64,3,1,2,94.7,43.0
909,1680.7,-653.5,184,35,289,0.6,178.8,15.5,38.5,29.1,24,4,1,4,95.7,36.9
910,1496.4,1593.3,145,33,57,26.1,330.5,37.0,36.7,17.9,25,0,0,22,46.2,79.3
911,-206.9,1258.9,141,1,310,18.9,170.8,32.6,15.3,6.7,48,2,1,37,90.7,48.3
912,1729.2,-1356.3,105,24,17,3.2,164.2,7.2,15.2,22.1,94,1,0,19,47.8,50.6
913,236.9,1191.7,182,31,180,12.3,153.6,17.8,21.6,19.6,75,0,0,5,81.0,49.0
914,-1551.2,1766.2,108,24,280,13.3,90.6,30.8,38.1,26.5,85,1,0,22,91.6,83.7
915,-934.3,-701.5,204,39,73,9.2,245.7,6.2,29.2,13.5,20,2,1,10,79.3,99.5
916,1035.1,-1010.5,142,34,1,10.2,269.0,16.3,26.6,23.4,9,1,0,13,51.3,87.9
917,-375.3,-738.6,186,1,97,23.9,318.4,34.3,15.2,35.1,72,0,0,29,39.0,97.4
918,1573.4,-301.6,203,41,251,11.4,113.5,14.1,19.3,20.3,82,5,1,16,69.0,82.8
919,-1821.6,-1586.7,181,31,7,24.8,271.2,35.3,4.6,19.6,79,3,0,37,69.3,63.1
920,1082.8,1421.1,141,16,140,27.9,111.6,18.4,11.7,31.5,100,5,2,12,87.0,86.1
921,-1841.5,-1865.5,165,10,291,15.7,319.3,14.3,2.6,6.1,98,3,0,18,97.8,46.2
922,1051.9,1561.0,123,30,98,12.5,347.0,4.1,29.9,17.7,50,4,2,7,96.9,48.8
923,-1114.0,-1033.9,101,18,122,14.9,37.6,19.5,27.5,13.4,49,3,1,7,47.7,43.7
924,-1911.9,1530.7,188,19,311,15.5,41.4,39.6,36.7,5.1,37,3,1,22,43.7,78.2
925,1241.8,419.8,122,25,90,25.6,106.1,24.8,33.1,4.4,44,3,0,39,97.8,45.3
926,-405.8,336.6,186,19,106,20.8,12.3,20.2,8.9,17.1,32,4,2,9,69.4,31.7
927,-420.8,-613.5,144,37,348,9.2,277.3,15.7,28.1,18.6,91,3,0,8,77.8,73.9
928,-1290.7,568.4,105,4,343,1.7,203.4,37.6,7.5,30.1,84,0,0,2,55.4,77.7
929,1420.4,1000.4,189,17,343,25.0,74.0,23.4,3.6,34.9,81,2,0,2,37.3,57.3
930,863.4,1593.5,144,12,15,19.5,187.1,4.2,6.0,15.9,28,5,1,6,88.4,35.9
931,-1296.8,1048.2,189,1,208,3.9,95.9,36.2,22.2,29.6,38,1,0,9,88.0,56.5
932,1439.6,-1629.6,201,6,348,0.8,237.1,39.1,20.1,26.5,29,1,0,38,78.2,46.9
933,-114.9,1516.1,102,27,108,13.1,16.7,7.1,3.3,3.7,100,4,1,25,59.5,65.8
934,1760.1,-1919.2,122,13,287,16.8,175.1,24.1,17.0,28.9,15,1,0,26,66.8,91.6
935,-1112.3,-253.3,181,42,4,16.0,94.5,12.9,36.0,34.2,3,0,0,16,96.0,61.7
936,688.6,-1887.8,186,26,3,3.2,282.4,7.8,35.9,4.1,68,0,0,16,99.6,58.1
937,828.3,-676.8,201,28,208,17.8,288.4,20.7,22.9,29.3,98,0,0,30,82.1,48.2
938,1280.6,1101.0,122,26,316,5.5,112.5,12.2,24.5,7.8,81,5,1,32,30.6,85.3
939,1905.8,1917.6,182,28,69,16.4,164.1,5.7,29.6,3.2,3,2,0,7,32.2,71.8
940,1819.6,1284.9,121,36,350,16.5,252.6,24.2,28.7,30.4,77,1,0,5,55.3,81.6
941,-499.5,797.1,147,12,293,16.8,83.8,23.4,9.8,10.2,56,4,0,31,74.3,43.1
942,828.6,1425.5,204,20,295,27.8,285.6,14.0,24.8,33.2,19,2,1,22,34.8,75.6
943,986.8,-241.5,101,44,233,23.7,265.4,16.4,6.2,25.4,60,1,0,28,80.2,57.1
944,754.3,718.2,163,22,230,29.6,335.3,39.9,16.3,14.7,95,3,2,17,50.9,51.1
945,719.0,-802.0,142,37,174,1.3,221.1,15.3,13.7,30.7,2,5,1,36,73.5,67.5
946,-415.0,933.8,109,21,202,0.4,140.5,35.0,39.3,2.5,26,2,0,24,90.9,81.9
947,-976.3,-838.0,182,34,276,0.8,53.0,10.3,4.0,18.6,47,3,2,34,97.9,42.2
948,-1314.5,1493.7,144,41,8,6.1,323.5,6.3,9.3,24.9,100,5,2,13,94.0,61.8
949,1229.7,1557.0,143,22,228,30.1,180.5,23.1,5.8,16.4,60,3,1,38,96.3,91.3
950,-1433.2,-926.1,189,0,338,15.2,271.3,20.5,27.7,5.9,88,3,2,9,52.8,96.1
951,1476.4,235.3,186,12,326,29.1,310.0,23.3,15.4,22.2,94,3,1,7,67.6,37.2
952,-1719.1,-267.6,182,38,342,4.1,305.2,23.1,10.4,9.3,4,5,2,8,43.3,72.9
953,607.8,81.6,106,16,23,22.5,151.8,29.1,13.2,35.7,66,3,0,38,55.1,64.8
954,251.8,1862.7,146,24,6,5.8,310.5,9.3,10.2,6.6,89,0,0,35,61.3,72.7
955,-1377.5,-44.2,104,6,198,5.3,118.3,37.4,21.5,7.3,93,2,0,14,83.8,39.9
956,-271.1,1368.8,148,14,232,10.4,250.1,9.2,22.3,16.5,95,2,1,30,83.8,32.7
957,-1382.5,-284.6,188,21,231,5.1,16.2,11.5,33.6,14.3,5,2,1,27,84.9,74.1
958,94.5,600.1,141,29,231,12.4,41.5,29.3,26.5,27.5,22,5,0,27,55.8,57.7
959,-410.6,411.5,165,8,288,26.5,29.3,19.1,37.3,11.8,72,2,0,12,57.8,79.2
960,1779.8,-1284.6,182,31,141,22.7,40.7,7.7,4.9,22.4,32,4,1,30,54.0,86.3
961,-1157.8,178.2,185,18,115,20.2,149.9,13.6,13.7,11.1,22,5,1,14,33.7,69.4
962,-741.2,-108.4,256,23,26,18.1,77.9,37.6,10.8,34.0,14,4,2,15,97.8,73.7
963,1333.2,112.1,163,25,36,0.4,163.9,19.8,27.5,12.7,15,0,0,33,86.7,41.1
964,370.1,1868.9,122,14,228,19.9,266.1,34.0,20.4,30.9,100,5,2,5,79.7,86.1
965,1888.0,-202.7,162,12,142,27.7,245.5,27.2,28.4,24.7,85,2,1,18,30.8,82.6
966,-857.3,1775.4,106,34,92,7.7,306.8,39.3,29.6,35.9,50,5,0,35,43.6,31.9
967,-1322.4,1807.8,204,31,136,6.3,264.8,31.2,37.3,11.5,90,1,0,37,38.5,90.2
968,-725.5,-741.0,107,45,23,28.0,184.0,17.7,33.4,23.3,87,1,0,1,95.9,60.7
969,1326.0,22.7,143,39,45,5.5,32.4,13.8,7.4,37.4,74,2,1,11,67.9,82.7
970,-1525.5,1763.6,142,12,36,17.0,306.9,11.7,37.5,17.8,22,1,0,30,92.4,49.7
971,1487.4,1450.7,181,38,78,10.1,6.4,18.3,2.9,22.8,67,1,0,21,71.1,46.6
972,750.7,1194.0,106,42,121,20.9,358.0,13.8,3.8,36.2,9,1,0,1,51.7,55.4
973,-1123.5,1533.6,184,36,227,13.6,333.9,35.4,24.9,2.8,82,3,1,20,37.2,39.5
974,-1199.8,-682.0,104,21,281,26.0,343.3,13.3,25.0,30.4,17,0,0,0,58.8,88.9
975,1773.8,796.1,101,15,10,5.4,65.4,37.0,26.4,14.8,61,1,0,30,69.5,54.0
976,-1118.7,-1574.0,256,37,282,10.6,35.0,22.9,19.1,32.3,9,5,2,30,36.7,60.4
977,-1566.6,915.0,201,0,344,11.3,351.2,24.3,2.6,8.6,57,1,0,31,63.7,78.4
978,673.2,795.9,122,19,221,0.8,260.4,21.1,18.0,36.7,77,2,0,30,58.6,65.5
979,764.3,-759.3,165,7,317,29.9,244.4,6.1,8.1,36.9,65,4,2,4,54.5,45.4
980,512.4,-165.3,163,39,14,23.4,41.6,35.4,22.6,3.8,61,0,0,12,47.2,40.3
981,1047.8,1357.3,161,7,356,28.2,38.9,39.0,9.6,35.2,45,0,0,12,98.9,74.9
982,-1914.7,322.6,189,7,274,2.3,153.8,16.7,24.0,3.0,51,3,2,7,58.7,89.2
983,1376.6,-1650.0,109,35,64,27.4,261.3,13.5,33.9,18.2,7,1,0,15,95.4,41.8
984,483.3,-1701.5,145,13,256,6.2,288.7,20.8,17.4,36.9,34,0,0,29,83.0,35.6
985,1345.1,-390.3,185,9,52,13.5,273.0,22.4,38.8,29.4,29,4,0,31,45.0,33.5
986,286.7,501.6,181,37,202,21.5,158.0,16.8,29.4,28.4,76,5,1,24,93.1,72.0
987,-302.6,1339.5,147,21,279,0.4,356.6,25.6,23.4,17.5,35,3,0,35,61.6,75.4
988,798.8,742.7,161,11,91,3.4,340.9,6.4,23.2,8.6,60,1,0,13,63.2,42.1
989,-156.2,-588.8,203,11,43,15.3,142.7,17.6,29.8,15.9,69,5,1,0,35.9,73.9
990,-103.3,-285.6,189,22,26,9.0,135.0,30.2,34.9,34.4,61,0,0,35,70.8,43.0
991,-1334.6,-1859.9,181,42,180,7.0,222.7,8.6,4.5,18.7,7,0,0,31,40.9,67.9
992,732.7,-999.2,188,35,334,25.2,336.8,33.0,14.6,15.2,58,4,0,39,95.2,90.2
993,1650.1,-1727.3,256,19,147,13.1,35.5,37.0,35.6,13.6,56,4,1,7,61.9,99.6
994,-1539.7,-266.5,122,3,261,30.3,322.4,36.8,21.1,12.7,38,4,0,2,73.7,70.2
995,1833.0,449.9,184,23,72,16.1,63.2,34.6,12.3,37.8,97,0,0,36,56.2,62.6
996,-1895.3,1880.3,148,22,233,5.7,202.7,37.7,11.7,25.7,97,4,1,3,41.2,86.7
997,-19.4,612.2,161,45,353,21.6,308.8,5.1,34.1,9.2,66,4,1,7,61.4,79.8
998,1076.1,-848.7,186,35,256,0.8,323.7,22.9,3.0,3.4,75,3,0,29,47.0,82.0
999,516.2,-50.8,106,13,241,30.5,25.9,36.9,36.6,30.3,10,1,0,18,80.0,60.7
1000,724.0,1475.6,102,4,12,8.0,349.9,35.9,30.0,32.5,20,0,0,13,49.1,32.9
1001,-1761.1,-1042.1,141,14,137,4.7,52.5,6.8,17.2,26.3,55,2,1,22,75.9,51.2
1002,-191.7,-312.1,149,16,347,13.0,259.1,22.7,20.0,18.1,93,3,0,26,70.2,79.4
1003,722.3,1077.0,189,16,316,12.6,241.6,6.3,23.2,29.6,29,3,1,14,94.3,49.9
1004,1350.2,-872.2,149,15,207,8.0,321.7,17.1,7.9,29.5,46,4,0,31,51.0,40.8
1005,1705.5,1502.0,165,33,190,17.2,287.3,12.0,12.9,39.8,23,5,0,3,32.7,59.7
1006,819.7,1840.4,185,5,109,24.8,306.8,35.1,3.6,11.7,87,4,1,38,69.7,95.6
1007,257.5,1638.6,162,15,125,0.3,9.0,10.3,34.4,22.8,83,1,0,4,52.1,73.7
1008,1083.8,186.2,186,22,75,14.7,127.5,4.6,39.6,30.8,73,3,2,3,80.2,36.4
1009,-177.3,148.0,162,35,30,5.0,273.3,28.2,15.6,22.7,0,1,0,34,86.5,53.3
1010,199.4,48.2,183,37,178,14.5,359.6,14.8,2.6,24.5,54,2,0,16,90.1,93.1
1011,1739.2,457.8,108,17,214,3.4,162.5,10.5,33.4,19.7,88,1,0,9,47.8,38.8
1012,1270.4,-79.5,202,2,338,4.4,139.9,27.2,23.6,29.1,47,0,0,40,96.3,97.5
1013,547.3,220.6,149,34,359,6.8,101.2,22.4,20.5,3.3,62,2,1,38,79.2,93.1
1014,205.4,-1698.2,106,10,79,23.4,152.5,26.0,7.4,3.3,84,0,0,37,78.9,80.1
1015,426.6,73.3,103,2,354,29.1,70.2,13.0,34.1,4.5,17,1,0,20,74.0,77.0
1016,1099.4,-873.9,182,39,360,15.6,332.4,11.3,38.5,6.8,12,5,2,24,31.7,75.2
1017,-288.6,-251.0,121,23,260,8.8,280.7,7.9,20.0,18.9,38,5,0,5,87.9,68.8
1018,-812.0,1734.7,108,19,20,23.3,166.6,30.4,37.5,37.9,36,3,0,17,39.2,77.3
1019,980.9,-14.1,108,43,63,25.1,342.2,37.5,32.3,6.5,9,3,1,39,66.6,89.8
1020,339.6,-81.1,121,28,237,6.3,207.8,32.4,13.0,36.0,33,5,2,12,71.6,69.5
1021,-1571.1,1543.6,188,29,156,8.2,28.2,15.1,13.4,8.8,52,4,0,4,86.7,96.6
1022,-1905.6,-84.3,204,42,9,23.9,331.5,4.9,22.9,30.5,44,0,0,17,58.0,42.0
1023,-1091.8,1233.8,123,42,308,29.7,84.6,17.1,28.4,7.9,17,4,1,38,96.9,64.2
1024,-1827.4,-1459.4,163,21,269,9.3,22.2,18.6,24.2,24.3,38,0,0,0,32.4,38.7
1025,683.0,40.7,102,42,129,10.7,358.4,29.7,12.5,14.9,33,1,0,8,68.2,49.3
1026,162.1,1418.8,185,9,318,13.7,247.2,16.6,9.6,17.5,99,1,0,33,47.8,71.9
1027,-1232.8,-1728.0,108,27,77,14.3,165.5,39.2,18.2,25.5,60,5,1,24,96.3,41.9
1028,-230.1,-1262.7,142,6,157,25.9,237.3,22.7,2.4,39.8,50,1,0,9,31.3,42.5
1029,180.3,-737.1,189,19,188,9.8,329.1,19.9,37.5,24.3,72,1,0,27,63.1,40.6
1030,104.4,1853.0,162,11,146,8.6,186.1,23.5,9.9,2.2,34,5,0,2,46.0,69.4
1031,-893.2,51.2,141,16,238,13.4,209.5,22.0,10.5,8.5,28,5,0,7,92.2,61.0
1032,-1764.0,1652.8,163,3,121,3.2,252.4,19.8,18.9,2.3,67,4,1,26,43.7,52.0
1033,1919.7,1065.1,163,12,303,17.2,152.3,8.5,26.6,29.0,92,3,2,40,82.3,69.8
1034,1486.4,656.6,106,23,109,19.1,256.5,30.5,10.0,3.4,100,5,1,22,77.2,31.2
1035,-377.2,161.0,102,22,21,8.6,200.2,6.9,18.5,18.6,40,3,1,17,70.2,58.6
1036,823.3,-1854.1,165,34,73,27.3,105.9,37.5,29.7,17.5,19,5,0,36,62.9,30.6
1037,-1779.9,-902.0,106,31,62,8.3,225.7,3.2,35.4,30.2,73,1,0,18,82.5,70.0
1038,1182.8,-797.9,204,24,135,2.1,319.2,25.6,15.7,10.1,29,3,2,4,96.4,71.0
1039,-315.2,174.4,122,37,24,24.9,3.7,40.0,20.1,36.5,57,0,0,27,71.3,45.4
1040,846.6,530.0,256,4,190,16.9,112.7,33.3,21.6,3.4,90,5,1,29,81.1,58.4
1041,1749.7,1285.3,204,26,189,11.1,215.6,18.5,34.3,14.2,14,3,1,39,62.5,72.7
1042,112.2,-1205.7,108,13,288,27.7,200.2,16.8,13.7,40.0,72,5,2,25,70.4,50.0
1043,-1775.4,-684.7,108,7,176,19.5,27.9,4.4,6.2,22.1,9,3,1,32,71.2,62.8
1044,1783.2,-610.3,104,24,169,1.3,213.4,37.3,10.5,5.1,100,1,0,11,94.5,45.0
1045,-390.6,24.3,186,32,269,10.3,215.9,10.1,3.3,22.2,35,3,1,36,88.5,39.4
1046,-1646.4,-770.4,102,39,258,9.5,7.2,37.6,4.2,10.4,9,2,1,7,83.4,99.0
1047,1305.3,-1250.0,161,19,55,26.6,268.2,21.1,12.8,17.5,46,0,0,35,50.9,32.8
1048,1707.8,1911.6,256,32,102,23.0,66.2,19.5,27.3,3.1,92,4,1,2,91.2,89.4
1049,-138.2,358.1,189,24,231,25.8,169.4,29.4,32.5,29.5,20,4,0,1,42.3,84.3
1050,-1507.0,636.6,185,16,9,10.5,243.4,20.2,34.0,22.9,48,2,1,35,37.7,39.9
1051,1311.7,-211.5,203,8,326,7.2,167.8,12.3,22.9,32.7,34,2,0,24,47.2,52.9
1052,1726.8,380.7,201,9,13,3.8,274.7,32.1,17.9,20.0,57,5,0,12,60.1,80.7
1053,1359.1,1373.1,102,1,248,16.2,142.4,10.2,25.5,37.4,41,1,0,35,44.6,48.5
1054,-1077.4,-1521.0,122,0,283,29.7,344.8,14.2,3.0,20.0,94,2,0,10,80.4,59.2
1055,-1619.6,646.7,102,41,28,18.9,122.5,8.0,32.7,13.7,99,1,0,4,73.8,74.9
1056,1650.6,-0.9,188,4,339,20.5,125.6,2.2,7.4,10.8,97,3,1,29,78.8,63.5
1057,-409.6,155.2,185,10,183,30.2,55.3,19.5,12.9,18.1,72,5,0,30,64.1,89.2
1058,-1106.8,1402.9,256,4,49,12.3,251.3,25.2,13.5,2.5,36,2,0,2,56.6,82.0
1059,1876.1,1694.6,148,8,359,10.3,316.2,33.3,5.9,11.1,89,5,2,32,50.6,64.1
1060,215.9,353.8,102,9,56,18.0,63.2,9.5,14.2,16.9,53,4,1,29,34.3,60.5
1061,-656.7,1478.9,144,40,286,29.3,346.5,9.5,6.8,3.0,31,5,0,23,31.4,48.9
1062,-1054.6,-1216.9,124,8,34,24.9,284.7,5.1,36.0,20.6,13,5,1,13,44.7,56.4
1063,613.9,-1062.1,187,19,288,18.3,359.0,10.5,25.5,22.2,83,5,2,13,44.3,69.4
1064,-265.7,549.7,108,26,263,10.3,125.8,5.2,11.8,18.8,49,0,0,2,33.3,73.5
1065,-855.0,1601.8,143,34,277,15.8,16.7,2.4,16.7,25.8,41,5,0,8,93.3,60.3
1066,1052.7,-647.5,189,7,44,6.9,151.2,14.8,5.3,18.9,75,0,0,30,40.2,46.6
1067,-1242.1,1716.7,148,44,156,26.8,26.3,38.8,17.9,9.7,97,0,0,22,67.1,40.0
1068,1631.7,-26.8,122,43,158,25.0,34.8,10.3,27.7,3.9,68,3,0,24,54.6,54.2
1069,1702.2,1341.0,182,6,212,8.0,188.5,38.1,25.2,13.5,96,4,0,1,87.4,46.9
1070,-347.7,922.3,201,8,35,27.7,137.4,10.5,39.3,17.7,89,2,0,11,64.2,91.8
1071,-760.6,993.6,188,0,6,17.4,52.8,3.9,13.7,25.1,10,3,2,34,59.8,91.8
1072,32.5,1273.9,109,37,274,3.3,200.2,28.0,27.7,30.4,5,3,2,39,54.5,67.0
1073,-948.5,-517.1,121,30,127,18.6,13.9,33.8,4.1,31.1,36,5,1,17,46.5,92.1
1074,1544.8,-234.5,164,10,127,26.4,352.9,6.5,20.9,15.0,36,3,1,15,47.9,94.2
1075,1126.5,-724.0,101,18,196,23.3,359.3,22.5,18.3,2.3,68,2,1,35,36.6,78.7
1076,-1316.5,-1021.9,189,34,192,12.4,313.1,11.2,31.3,12.6,28,1,0,17,92.5,48.4
1077,-1554.5,-756.2,101,2,304,23.9,197.7,2.6,23.4,39.7,88,3,2,35,53.9,49.0
1078,1189.2,1915.9,204,40,333,13.8,192.7,19.7,8.3,34.8,20,1,0,1,43.9,68.7
1079,-1489.1,-991.2,162,42,76,15.7,242.9,6.5,26.1,11.0,82,0,0,30,96.4,43.2
1080,-947.3,-214.3,121,23,60,9.2,234.6,17.5,38.4,12.4,81,3,0,19,66.7,77.5
1081,1390.8,-1518.0,124,24,168,23.8,18.4,21.2,12.8,19.9,97,3,0,40,68.6,81.2
1082,1445.0,1579.8,102,44,109,20.2,300.0,31.4,28.4,4.8,0,4,2,9,45.7,47.5
1083,-544.2,-1222.0,148,8,114,13.2,193.1,36.2,24.8,18.7,90,5,2,26,75.0,68.8
1084,-1087.8,887.0,184,4,299,10.4,138.6,38.3,9.0,12.3,82,4,0,34,82.7,64.0
1085,-678.0,-1218.4,182,8,58,4.0,77.1,16.8,11.3,4.1,35,3,2,35,64.3,67.3
1086,-1710.5,-1336.5,122,8,293,10.4,171.2,26.4,36.4,36.5,44,3,2,29,69.1,49.9
1087,-1833.7,503.2,124,40,268,4.6,252.4,36.6,34.3,17.7,45,1,0,20,38.8,81.0
1088,524.7,-1419.7,105,35,31,11.5,139.0,13.7,30.3,13.2,80,5,0,17,93.4,34.2
1089,1604.0,-230.0,184,30,68,6.0,216.5,7.8,19.5,39.3,94,4,0,33,59.0,50.4
1090,-1263.1,526.6,105,43,288,9.4,21.9,39.5,31.5,24.6,65,4,1,21,52.9,71.0
1091,-1694.4,-108.6,149,30,292,16.1,272.8,31.6,11.5,36.3,46,4,0,13,73.3,55.2
1092,-1899.9,-1353.6,147,0,58,21.5,309.9,31.0,15.2,34.7,44,4,2,5,32.9,53.2
1093,1122.1,-1806.0,202,28,53,8.7,42.2,26.8,19.9,29.3,88,1,0,36,46.0,94.9
1094,1583.8,188.8,149,10,172,6.4,333.9,32.7,9.6,21.5,82,1,0,20,87.9,36.0
1095,-1166.0,986.8,181,38,155,16.6,155.5,35.4,30.7,30.4,67,5,0,21,30.4,59.7
1096,1078.5,-1740.9,141,17,61,14.5,75.8,22.0,5.6,13.4,82,2,1,38,82.8,40.5
1097,-298.9,514.4,182,13,211,16.9,303.3,27.9,10.2,9.1,55,3,1,2,90.5,36.6
1098,1617.0,-1307.6,102,42,114,10.5,14.2,10.2,20.2,20.1,48,5,1,32,34.2,49.8
1099,917.5,-278.5,102,22,290,26.4,56.2,5.6,3.8,35.8,95,1,0,8,99.1,58.9
1100,1304.1,885.3,188,14,115,1.7,279.6,5.6,38.9,19.8,53,3,2,6,81.2,37.3
1101,-476.6,904.1,146,23,280,30.1,323.3,12.5,2.9,34.2,97,3,1,36,59.6,54.5
1102,-350.2,1240.6,144,43,177,30.8,292.7,18.6,38.4,34.9,38,2,1,36,83.6,73.1
1103,1013.2,-1164.6,124,2,54,6.9,272.2,34.6,13.9,32.8,24,3,0,1,66.8,67.8
1104,980.7,1246.9,182,43,56,16.1,355.5,15.4,12.5,5.1,87,3,0,20,50.7,92.3
1105,-1378.9,1775.8,102,9,4,26.5,38.1,25.9,36.8,27.4,76,2,1,18,39.8,52.6
1106,-413.8,815.5,141,18,311,7.4,29.5,4.0,8.6,15.5,11,1,0,33,97.1,34.7
1107,-333.3,458.9,141,25,142,16.8,201.9,25.8,4.8,19.3,0,1,0,1,40.3,73.9
1108,726.3,-147.9,188,26,190,9.7,327.8,4.7,35.9,28.5,24,4,1,22,65.1,96.5
